--,total2015-2016,total2016-2017,total2017-2018,total2018-2019,total2019-2020,total2020-2021,-2021-2022,sociales+jur2015-2016,sociales+jur2016-2017,sociales+jur2017-2018,sociales+jur2018-2019,sociales+jur2019-2020,sociales+jur2020-2021,-2021-2022,ing+arqui2015-2016,ing+arqui2016-2017,ing+arqui2017-2018,ing+arqui2018-2019,ing+arqui2019-2020,ing+arqui2020-2021,-2021-2022,arte+hum2015-2016,arte+hum2016-2017,arte+hum2017-2018,arte+hum2018-2019,arte+hum2019-2020,arte+hum2020-2021,-2021-2022,c.salud2015-2016,c.salud2016-2017,c.salud2017-2018,c.salud2018-2019,c.salud2019-2020,c.salud2020-2021,-2021-2022,ciencias2015-2016,ciencias2016-2017,ciencias2017-2018,ciencias2018-2019,ciencias2019-2020,ciencias2020-2021,-2021-2022,genero,universidad_tipo,formato
                Asia y Ocean_11.0,10.0,9.0,31.0,22.0,19.0,26.0,5.0,5.0,3.0,19.0,16.0,9.0,15.0,2.0,3.0,3.0,3.0,5.0,7.0,5.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,4.0,1.0,1.0,3.0,1.0,2.0,5.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,-,hombres,publica,presencial
            Hombres,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,hombres,publica,presencial
                Total,3493.0,3443.0,3182.0,3237.0,3110.0,3182.0,3020.0,1468.0,1443.0,1332.0,1361.0,1331.0,1332.0,1240.0,967.0,976.0,879.0,932.0,855.0,908.0,931.0,341.0,321.0,324.0,268.0,298.0,313.0,260.0,384.0,378.0,349.0,369.0,311.0,335.0,293.0,333.0,325.0,298.0,307.0,315.0,294.0,296.0,hombres,publica,presencial
                Espa񡻳346.0,3320.0,3036.0,3067.0,2960.0,3017.0,2881.0,1403.0,1388.0,1274.0,1279.0,1258.0,1283.0,1187.0,921.0,928.0,819.0,879.0,796.0,821.0,866.0,327.0,311.0,313.0,252.0,293.0,303.0,252.0,370.0,376.0,337.0,359.0,305.0,322.0,283.0,325.0,317.0,293.0,298.0,308.0,288.0,293.0,-,hombres,publica,presencial
                Uni󮠅uropea,27.0,28.0,22.0,20.0,37.0,23.0,23.0,13.0,13.0,8.0,11.0,21.0,6.0,12.0,5.0,8.0,6.0,3.0,11.0,9.0,6.0,6.0,5.0,4.0,3.0,2.0,4.0,1.0,2.0,1.0,3.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,hombres,publica,presencial
                Resto de Europa,19.0,18.0,9.0,27.0,9.0,6.0,17.0,7.0,13.0,2.0,8.0,4.0,0.0,8.0,6.0,4.0,4.0,12.0,3.0,3.0,6.0,2.0,1.0,0.0,3.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,3.0,1.0,1.0,0.0,hombres,publica,presencial
                EEUU y Canadự.0,1.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-,hombres,publica,presencial
                Am鲩ca Latina y Caribe,63.0,45.0,58.0,56.0,40.0,41.0,34.0,29.0,18.0,26.0,26.0,16.0,12.0,14.0,20.0,22.0,22.0,18.0,17.0,18.0,15.0,4.0,2.0,3.0,7.0,2.0,3.0,1.0,6.0,0.0,4.0,3.0,2.0,5.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,1.0,hombres,publica,presencial
                Norte de frica,31.0,22.0,48.0,40.0,40.0,77.0,48.0,15.0,7.0,17.0,19.0,14.0,22.0,10.0,12.0,11.0,25.0,17.0,22.0,49.0,33.0,2.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,mujeres,publica,presencial
                Resto de frica,3.0,5.0,3.0,5.0,4.0,3.0,3.0,0.0,4.0,2.0,3.0,2.0,2.0,0.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,mujeres,publica,presencial
                Asia y Ocean_3.0,4.0,5.0,19.0,18.0,14.0,14.0,1.0,0.0,2.0,13.0,14.0,6.0,9.0,1.0,3.0,2.0,2.0,4.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,-,mujeres,publica,presencial
            Mujeres,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,mujeres,publica,presencial
                Total,4265.0,4355.0,4188.0,4206.0,4248.0,4385.0,4232.0,2125.0,2156.0,2145.0,2129.0,2151.0,2229.0,2163.0,293.0,220.0,205.0,225.0,227.0,275.0,318.0,581.0,624.0,556.0,538.0,527.0,539.0,508.0,948.0,1011.0,949.0,986.0,1014.0,1005.0,954.0,318.0,344.0,333.0,328.0,329.0,337.0,289.0,mujeres,publica,presencial
                Espa񡻴059.0,4101.0,3972.0,3967.0,4036.0,4153.0,4003.0,2023.0,2031.0,2032.0,2002.0,2036.0,2119.0,2062.0,277.0,205.0,186.0,199.0,205.0,228.0,265.0,554.0,586.0,517.0,498.0,506.0,515.0,488.0,905.0,959.0,922.0,950.0,967.0,963.0,912.0,300.0,320.0,315.0,318.0,322.0,328.0,276.0,-,mujeres,publica,presencial
                Uni󮠅uropea,49.0,48.0,47.0,55.0,56.0,42.0,43.0,28.0,24.0,28.0,28.0,24.0,23.0,21.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0,8.0,10.0,8.0,13.0,12.0,5.0,7.0,9.0,9.0,9.0,10.0,16.0,8.0,11.0,2.0,4.0,2.0,3.0,4.0,4.0,3.0,mujeres,publica,presencial
                Resto de Europa,28.0,29.0,25.0,18.0,16.0,19.0,16.0,11.0,12.0,13.0,10.0,10.0,10.0,11.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0,5.0,5.0,4.0,0.0,2.0,2.0,9.0,8.0,5.0,4.0,3.0,7.0,1.0,3.0,4.0,1.0,0.0,3.0,0.0,0.0,mujeres,publica,presencial
                EEUU y CanadỰ.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,mujeres,publica,presencial
                Am鲩ca Latina y Caribe,71.0,89.0,79.0,82.0,64.0,64.0,56.0,38.0,42.0,42.0,49.0,39.0,35.0,26.0,6.0,9.0,6.0,8.0,10.0,11.0,8.0,5.0,10.0,12.0,12.0,3.0,6.0,6.0,16.0,18.0,8.0,10.0,12.0,9.0,11.0,6.0,10.0,11.0,3.0,0.0,3.0,5.0,mujeres,publica,presencial
                Norte de frica,48.0,78.0,58.0,63.0,61.0,98.0,97.0,19.0,40.0,28.0,28.0,34.0,38.0,34.0,6.0,4.0,11.0,16.0,10.0,33.0,40.0,10.0,13.0,11.0,7.0,5.0,10.0,5.0,6.0,15.0,4.0,9.0,12.0,16.0,13.0,7.0,6.0,4.0,3.0,0.0,1.0,5.0,ambos_sexos,publica,presencial
                Resto de frica,2.0,4.0,2.0,6.0,10.0,4.0,4.0,2.0,2.0,0.0,4.0,6.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,ambos_sexos,publica,presencial
                Asia y Ocean_8.0,6.0,4.0,12.0,4.0,5.0,12.0,4.0,5.0,1.0,6.0,2.0,3.0,6.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,3.0,1.0,0.0,2.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-,ambos_sexos,publica,presencial
        No Presencial,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ambos_sexos,publica,online
            Ambos sexos,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ambos_sexos,publica,online
                Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ambos_sexos,publica,online
                Espa񡻰.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,ambos_sexos,publica,online
                Uni󮠅uropea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ambos_sexos,publica,online
                Resto de Europa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ambos_sexos,publica,online
                EEUU y CanadỰ.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,ambos_sexos,publica,online
                Am鲩ca Latina y Caribe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ambos_sexos,publica,online
                Norte de frica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hombres,publica,online
                Resto de frica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hombres,publica,online
                Asia y Ocean_0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,hombres,publica,online
            Hombres,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,hombres,publica,online
                Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hombres,publica,online
                Espa񡻰.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,hombres,publica,online
                Uni󮠅uropea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hombres,publica,online
                Resto de Europa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hombres,publica,online
                EEUU y CanadỰ.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,hombres,publica,online
                Am鲩ca Latina y Caribe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hombres,publica,online
                Norte de frica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mujeres,publica,online
                Resto de frica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mujeres,publica,online
                Asia y Ocean_0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,mujeres,publica,online
            Mujeres,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,mujeres,publica,online
                Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mujeres,publica,online
                Espa񡻰.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,mujeres,publica,online
                Uni󮠅uropea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mujeres,publica,online
                Resto de Europa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mujeres,publica,online
                EEUU y CanadỰ.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,mujeres,publica,online
                Am鲩ca Latina y Caribe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mujeres,publica,online
                Norte de frica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ambos_sexos,privada,online
                Resto de frica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ambos_sexos,privada,online
                Asia y Ocean_0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,ambos_sexos,privada,online
    Privada,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ambos_sexos,privada,ambos_formatos
        Total,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ambos_sexos,privada,ambos_formatos
            Ambos sexos,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ambos_sexos,privada,ambos_formatos
                Total,2725.0,3050.0,3161.0,2966.0,3238.0,3348.0,3748.0,1377.0,1433.0,1588.0,1301.0,1633.0,1515.0,1640.0,203.0,208.0,203.0,233.0,193.0,221.0,289.0,19.0,21.0,11.0,46.0,48.0,31.0,21.0,1100.0,1324.0,1271.0,1313.0,1293.0,1476.0,1739.0,26.0,64.0,88.0,73.0,71.0,105.0,59.0,ambos_sexos,privada,ambos_formatos
                Espa񡻲547.0,2711.0,2828.0,2603.0,2881.0,3013.0,3299.0,1330.0,1306.0,1503.0,1193.0,1517.0,1429.0,1493.0,197.0,202.0,190.0,220.0,181.0,195.0,262.0,15.0,16.0,10.0,39.0,37.0,22.0,18.0,980.0,1126.0,1040.0,1078.0,1078.0,1266.0,1470.0,25.0,61.0,85.0,73.0,68.0,101.0,56.0,-,ambos_sexos,privada,ambos_formatos
                Uni󮠅uropea,132.0,259.0,221.0,244.0,218.0,179.0,247.0,22.0,82.0,23.0,47.0,39.0,16.0,53.0,1.0,0.0,3.0,3.0,1.0,4.0,1.0,2.0,1.0,0.0,1.0,6.0,4.0,2.0,107.0,175.0,195.0,193.0,172.0,153.0,188.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,ambos_sexos,privada,ambos_formatos
                Resto de Europa,14.0,25.0,13.0,20.0,13.0,14.0,30.0,7.0,13.0,9.0,14.0,9.0,6.0,14.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,4.0,8.0,2.0,4.0,1.0,7.0,14.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,ambos_sexos,privada,ambos_formatos
                EEUU y CanadỰ.0,0.0,2.0,4.0,3.0,8.0,10.0,0.0,0.0,1.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,ambos_sexos,privada,ambos_formatos
                Am鲩ca Latina y Caribe,22.0,37.0,60.0,42.0,56.0,57.0,93.0,10.0,20.0,26.0,19.0,29.0,20.0,48.0,3.0,3.0,7.0,7.0,8.0,17.0,21.0,0.0,1.0,0.0,3.0,1.0,5.0,0.0,8.0,13.0,25.0,13.0,17.0,14.0,24.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,ambos_sexos,privada,ambos_formatos
                Norte de frica,1.0,3.0,11.0,9.0,20.0,25.0,17.0,1.0,2.0,6.0,3.0,11.0,11.0,4.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,7.0,12.0,12.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,hombres,privada,ambos_formatos
                Resto de frica,2.0,3.0,4.0,7.0,5.0,7.0,11.0,1.0,1.0,0.0,5.0,4.0,3.0,7.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hombres,privada,ambos_formatos
                Asia y Ocean_7.0,12.0,22.0,37.0,42.0,45.0,41.0,6.0,9.0,20.0,20.0,22.0,28.0,18.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,16.0,16.0,16.0,22.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-,hombres,privada,ambos_formatos
            Hombres,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,hombres,privada,ambos_formatos
                Total,1227.0,1390.0,1345.0,1325.0,1351.0,1420.0,1632.0,617.0,675.0,637.0,630.0,676.0,657.0,757.0,170.0,172.0,167.0,188.0,162.0,183.0,234.0,4.0,4.0,4.0,14.0,15.0,5.0,8.0,427.0,511.0,504.0,466.0,470.0,531.0,612.0,9.0,28.0,33.0,27.0,28.0,44.0,21.0,hombres,privada,ambos_formatos
                Espa񡻱132.0,1211.0,1164.0,1138.0,1138.0,1229.0,1401.0,598.0,604.0,601.0,566.0,604.0,594.0,673.0,165.0,168.0,159.0,180.0,153.0,164.0,212.0,4.0,3.0,4.0,10.0,11.0,4.0,8.0,357.0,408.0,368.0,355.0,342.0,423.0,487.0,8.0,28.0,32.0,27.0,28.0,44.0,21.0,-,hombres,privada,ambos_formatos
                Uni󮠅uropea,77.0,145.0,130.0,126.0,135.0,93.0,119.0,9.0,51.0,5.0,24.0,23.0,9.0,27.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,67.0,94.0,124.0,99.0,110.0,82.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hombres,privada,ambos_formatos
                Resto de Europa,4.0,7.0,7.0,8.0,7.0,8.0,11.0,1.0,4.0,4.0,8.0,6.0,5.0,8.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hombres,privada,ambos_formatos
                EEUU y CanadỰ.0,0.0,1.0,2.0,2.0,6.0,8.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,hombres,privada,ambos_formatos
                Am鲩ca Latina y Caribe,9.0,13.0,21.0,19.0,23.0,27.0,43.0,4.0,6.0,7.0,12.0,14.0,11.0,21.0,2.0,2.0,5.0,4.0,5.0,12.0,16.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,5.0,8.0,2.0,4.0,3.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,hombres,privada,ambos_formatos
                Norte de frica,1.0,2.0,5.0,5.0,9.0,18.0,12.0,1.0,2.0,4.0,2.0,6.0,10.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mujeres,privada,ambos_formatos
                Resto de frica,1.0,3.0,1.0,5.0,5.0,5.0,8.0,1.0,1.0,0.0,4.0,4.0,2.0,6.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mujeres,privada,ambos_formatos
